Character,Line
Cartman,"No, Chef has always been super-cool."
Cartman,So what can we do?
Kyle,But we don't have years!
Kyle,"If Chef keeps this up, he's gonna go to jail forever!"
Stan,Having sex with women.
Stan,This isn't working.
Kyle,No thanks.
Kyle,We're trying to unbrainwash our friend.
Cartman,"Come on, bitch!"
Cartman,Dance!
Cartman,"Bitch, I'll twist your nuts off!"
Stan,"Come on guys, we might as well go."
Stan,"Chef, we're leaving."
Stan,He's remembering.
Cartman,It's okay Chef.
Cartman,"Go on, remember!"
Kyle,"Come on, Chef!"
Kyle,You can do it!
Stan,Where's Chef?!
Stan,What have you done with him?
Cartman,"Look: If you wanna go around the world molesting kids, that's totally fine."
Cartman,But why do you need Chef?
Stan,"Oh Jesus, here we go."
Stan,We don't wanna hear it.
Stan,Immortal.
Kyle,...Do you realize how retarded that sounds?
Stan,"Yeah, it's way, way more retarded."
Stan,We're not leaving without Chef.
Kyle,We're not going anywhere without Chef.
Kyle,No!
Kyle,Hey!
Stan,"No, you don't understand!"
Stan,They've got our friend in the Deprivation Room!
Kyle,"Sorry, dude, but this fruity little club isn't taking our friend!"
Kyle,"Chef, come on!"
Cartman,Kenny!
Cartman,Spin Blossom Nut Squash!
Stan,"Come on, Chef!"
Kyle,Here!
Cartman,Run Chef!
Kyle,Get outside!
Stan,We made it!
Stan,"Chef, come on!"
Kyle,"Yeah, he wanted adventure!"
Kyle,Not a bunch of ridiculous bullcrap!
Kyle,Right Chef?
Kyle,Chef?
Stan,"Chef, we love you."
Kyle,No!
Kyle,"Chef, they've filled your head with lies!"
Kyle,Can't you see that?
Stan,NO!
Cartman,A mountain lion!
Kyle,CHEF!
Cartman,A grizzly bear!
Stan,Oh my God...
Stan,They killed Chef.
Kyle,You bastards.
Kyle,YOU BASTARDS!
Cartman,Maybe- maybe he's still okay.
Cartman,"No, really."
Cartman,They say the last thing you do before you die is crap your-
Cartman,Oh never mind.
Stan,"Come on, let's go."
Kyle,We're all here today because Chef has been such an important part of our lives.
Kyle,A lot of us don't agree with the choices Chef has made in the past few days.
Kyle,Some of us... feel hurt... and confused that he seemed to turn his back on us.
Kyle,But we can't let the events of the last week take away the memories of how much Chef made us smile.
Kyle,I'm gonna remember Chef as the jolly old guy who always broke into song.
Kyle,I'm gonna remember Chef... as the guy who gave us advice to live by.
Kyle,"So you see, we shouldn't be mad at Chef for leaving us."
Kyle,We should be mad at that little fruity club for scrambling his brains.
Kyle,"And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all."
Kyle,"Dad, can we go home?"
Kyle,All you ever do since you got this car is drive around and show it off!
Kyle,"Dad, I think Ike is starving to death."
Kyle,What?
Kyle,"Dad, can we go home, please?"
Kyle,"But Dad, I want-"
Stan,Oh hey Kyle.
Kyle,"Aw, hey dude."
Kyle,What are you doing here?
Stan,Helping my Dad pick out some cool new power tools.
Stan,What are you doing?
Kyle,Helping my Dad give people fake tickets.
Kyle,"Dad, let's just go!"
Kyle,Dad.
Kyle,"Dad, Ike and I have been talking, and well, we feel that your new car is changing you."
Kyle,We're thinking that a lot of people in town starting too...
Kyle,...a-are starting to take offense at your actions.
Kyle,We feel like you're starting to become-hmm...
Kyle,...star-starting to become alienated from some of your friends.
Kyle,You do?
Kyle,Righ!
Kyle,"Okay, good."
Kyle,What?
Stan,Yeah?
Stan,Going away party?
Stan,What do you mean?
Stan,Moving away??
Stan,Kyle can't move away!
Stan,Where's the going-away party?
Cartman,Hey everybody!
Cartman,There's more pop in the refrigerator.
Cartman,Let's make this the best going-away party EVER!
Cartman,Who?
Cartman,Kyle?
Cartman,Why would I invite Kyle?
Stan,Kyle?
Stan,Kyle!
Stan,What?
Cartman,"You guys, this is our party."
Cartman,That no-good back-stabbing Jew rat is finally leaving!
Cartman,"Come on, everyone!"
Cartman,Let's sing!
Cartman,'Nanana na!
Cartman,Nanana na!
Cartman,Hey hey hey!
Cartman,Goodbye Kyle!
Stan,Kyle!
Stan,Du-what is going on?
Kyle,My Dad says he can't live here anymore.
Stan,"Mr. Broflovski, please."
Stan,Kyle's my best friend.
Stan,Well... Maybe they'll change.
Stan,Nooo!
Stan,I will.
Stan,I will get everyone to drive hybrid cars!
Stan,I swear it!
Stan,"Come on, people."
Stan,"Come on, people now."
Cartman,"Dude, what are you doing?"
Stan,"I'm writing a song about the importance of hybrid cars, so maybe people will change their ways."
Cartman,"THAT's gay, heh."
Stan,"Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!"
Cartman,Why do you want Kyle back??
Cartman,Don't you see how awesome it is without him?
Stan,"You know, Cartman, you may be stoked now, but I bet you're gonna find that withuot Kyle around to rip on, your life is empty, and hollow."
Cartman,Psh!
Cartman,Whatever dude.
Cartman,"I don't need Kyle to rip on, I've got Butters."
Cartman,"Come on, Butters, you stupid Jew!"
Stan,"Come on, people."
Stan,"Come on, people now."
Stan,"Come on now, people now people now'
People now, come on now, people now
Got to drive hybrids, people now
People now, people now, people now
Hybrids are for people now, people now
Group of people driving people now
Get a hybrid, be good people now."
Stan,"We have all got to be people now
People-driving-hybrid people now
People now, people now, hybrid now
Hybrid-people-driving people now."
Stan,"Come on, people, let's be people now
Hybrid-people-driving people now
Come on, everybody be people now"
Stan,"Come on, everybody be people now"
Stan,"Ah, thanks."
Stan,"I was really just trying to make it so my friend can move back here so... if you don't mind, I'm gonna try to get a hold of him now."
Stan,Yeah.
Stan,Ow!
Stan,What?
Stan,Smog?
Stan,There's never been smog over South Park before.
Stan,Smug?
Kyle,So... what do you do for fun?
Kyle,"Oh, no thanks."
Kyle,We don't do that stuff.
Kyle,"Yeah, fine, Dad."
Kyle,Well... maybe I'll take just half a hit of acid.
Stan,"No, no, I'm asking if there's a listing for Broflovski in San Francisco!"
Stan,They just moved there!
Cartman,Haha!
Cartman,"Take that, Jew boy!"
Cartman,I guess you Heebs can't even play video football!
Cartman,"You know Butters, you make for a lousy Jew."
Cartman,"No, no!"
Cartman,"Don't apologize, you asshole!"
Stan,"Oh crap, Ranger McFriendly."
Cartman,Who?
Cartman,The smug?
Stan,What is that?
Stan,George Clooney's acceptance speech?
Stan,What about San Francisco?
Stan,I'm gonna try and warn Kyle to get out of San Francisco.
Cartman,I don't have a choice.
Cartman,Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.
Cartman,"You don't know San Francisco, Butters."
Cartman,It was the breeding ground for the hippie movement in the 60s.
Cartman,"Those hard-core liberals, lesbian activists, and die hard modern hippies young and old."
Cartman,I swore I would never set foot in San Francisco.
Cartman,God help me.
Cartman,"All right, Butters, I'll be tethered to you through this cord."
Cartman,"It's my only lifeline, so make sure it stays taut."
Cartman,"If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength."
Cartman,I'm not doin' it for Kyle.
Cartman,I can't believe I'm actually going to walk through San Francisco.
Cartman,"Well, here it goes."
Stan,Can't somebody else operate this?
Stan,I can't really reach.
Cartman,"Butters, are you there?"
Cartman,I've started to enter the smug.
Cartman,I'm about a quarter mile in.
Cartman,Can you give me an EL?
Cartman,Yes.
Cartman,It's just beyond yet another wine and cheese store.
Cartman,Turning right at O two four niner.
Cartman,Butters?!
Cartman,"Butters, I think I'm here!"
Cartman,2419 Castillo?
Cartman,Mr. Broflovski!
Cartman,"Mr. Broflovski, there a smug storm!"
Cartman,We have to go!
Cartman,Oh my CHRIST!
Cartman,Kyle?
Cartman,Kyle!
Kyle,The acid.
Kyle,"Dude, I'm totally tripping balls."
Cartman,We have to get out of here!
Cartman,Now!
Cartman,Kyle!
Cartman,Kyle!
Stan,No...
Stan,What?
Stan,Kyle!
Kyle,Hey Stan.
Stan,"Dude, what happened?"
Stan,"Dude, I'm so glad you're not dead."
Kyle,NO!
Kyle,Hybrid cars are a good thing!
Kyle,"Hybrid cars don't cause smugness, people do."
Kyle,"Look, hybrid cars are important."
Kyle,They may even save our planet one day.
Kyle,What you all need to do is just learn to drive hybrids and not be smug about it.
Kyle,Yeah!
Cartman,"Well, looks like you're back for good, huh Kyle?"
Kyle,"Yeah, I guess so."
Cartman,"We just can't get rid of you, can we, you sneaky Jew rat!"
Kyle,"Don't belittle my people, you fucking fatass!"
Cartman,"Ah, that's better."
Stan,What??
Stan,What?
Stan,Kyle!
Stan,What the hell is going on this time?
Kyle,I have no idea!
Stan,Dad?
Stan,"Dad, what the hell is going on?"
Stan,Sso?
Stan,"Oh come on, people."
Stan,You really think anybody's gonna be that pissed off about a cartoon?
Stan,They censored the image of Mohammad?
Stan,How?
Kyle,I TIVO every episode.
Kyle,We can go to my house and see what they did.
Kyle,"Okay you guys, check it out."
Cartman,You TIVO every episode of Family Guy?
Kyle,"Dude, it's a good show."
Stan,"Yeah, lots of people like Family Guy."
Cartman,Yich.
Kyle,"Hehaha, heh."
Cartman,Yich.
Kyle,That's it?
Kyle,That's all they did?
Cartman,"Oh man, that's not cool!"
Cartman,"Seriously, that is not cool."
Stan,What?
Stan,What's the big deal?
Cartman,What's the big deal?
Cartman,"You guys, they just made fun of the religion of an entire group of people."
Cartman,"What, you guys think that's okay?!"
Cartman,Do you care at all about people's feelings?
Kyle,"Since when you care about being sensitive to people's religion, Cartman?"
Stan,"Yeah, you rip on people's religion all the time!"
Cartman,That's different!
Cartman,I'm just a little boy!
Cartman,That's a cartoon!
Cartman,Millions of people watch it!
Cartman,"How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?!"
Cartman,Huh?
Kyle,Uhhh...
Cartman,"I'm telling you guys, it's wrong!"
Cartman,It's WRONG!!
Cartman,It's wrong!
Kyle,"Dad, Dad, Jesus Christ!"
Kyle,"Mom, it was nothing."
Kyle,Mohammad just stood there and then drank some tea.
Kyle,"No, Muslims can't show an image of Mohammad."
Cartman,"Yeah, Kyle."
Cartman,"Maybe you think this is funny, but the rest of us don't."
Cartman,"Mrs. Garrison, that is ignorant and racist!"
Cartman,"Muslims are mad because of Family Guy, not because they can't jack off!"
Cartman,"Right, Wendy?"
Stan,The hell's going on now?
Cartman,What?
Cartman,Goddamned Family Guy!
Cartman,Now they're just provoking people!
Cartman,It's like they want a holy war!
Stan,Does this mean we don't have school all week?
Cartman,"You guys, this is serious!"
Cartman,We have to do something!
Cartman,We have to go to the FOX network in L.A. We have to go and... try to get that episode pulled.
Cartman,You guys with me?
Stan,"Dude, we can't go anywhere."
Stan,They've shut down the airports and the buses.
Cartman,Then we'll ride our Big Wheels.
Stan,To Los Angeles?
Cartman,"If that's what it takes, yes!"
Cartman,We have to talk to the network!
Cartman,The Family Guy writers aren't gonna back down!
Kyle,Well good for them.
Kyle,They shouldn't!
Kyle,The writers are standing up and saying they aren't going to be intimidated!
Cartman,Intimidated?!
Cartman,"Is that what you think this is about, Kyle?"
Kyle,"All right dude, what the hell has gotten into you?!"
Kyle,I don't trust for one second that your sudden concern for the Muslim people is real!
Cartman,"All right, fine, Kyle."
Cartman,Forget the Muslim faith for a minute.
Cartman,People can get hurt.
Cartman,"If ten people die because Family Guy just had to have their little joke, will you still think it's funny?"
Cartman,What if a hundred people died?
Cartman,"Will it be funny then, Kyle?"
Cartman,I'm going to Los Angeles.
Cartman,I'm gonna do whatever I can to get that episode pulled before this gets out of hand.
Cartman,Somebody has to speak for the Muslim people.
Cartman,Somebody has to speak for what's right.
Kyle,Dad?
Kyle,Are you sure there's time?
Kyle,No!
Kyle,Ike?
Kyle,Iiike!
Kyle,Ike!
Kyle,Ike!
Kyle,This way!
Kyle,Iiike!
Kyle,Nooooo!
Cartman,Come to try and stop me?!
Cartman,It isn't gonna work.
Kyle,I didn't come to stop you.
Kyle,I...
Kyle,"I think you're right, Cartman."
Kyle,I want to help you get the Family Guy episode pulled.
Cartman,"Yeah well, I don't need a partner on this."
Cartman,Especially one who doesn't trust me.
Kyle,"Look, Cartman, I don't know what's gotten into you, but..."
Kyle,I I think it's pretty amazing.
Kyle,And I think it's real.
Kyle,You have to understand why I didn't believe you before.
Cartman,Yeah.
Cartman,"I do understand, Kyle."
Cartman,I've been doing the wrong things for a long time.
Cartman,Doing things for my own selfish reasons.
Cartman,"I just wanna do something right, you know?"
Cartman,Just this one time.
Kyle,"It's a long trip, dude."
Kyle,You're gonna need help.
Kyle,We can try and get the episode pulled together.
Cartman,You know we might not even make it into the studio.
Kyle,I know.
Kyle,"But just like you, I feel like I have to try."
Kyle,"People can really get hurt, and a joke just isn't worth that."
Cartman,So what made you change your mind?
Kyle,I got some sound advice... from an old friend.
Cartman,"Well Kyle, we'd better get going."
Kyle,Yeah!
Cartman,Are you set?
Kyle,I'm set!
Kyle,Let's do this!
Cartman,"All right, let's roll!"
Kyle,We got six days to make it to Los Angeles.
Kyle,"If we keep our stops to a minimum, we should be able to get the episode pulled just in time."
Cartman,"Yes, and in just a few weeks from now, Family Guy will be off the air forever."
Kyle,Off the air?
Kyle,But... we're just going to try to get the Mohammad episode pulled.
Cartman,"It's simple television economics, Kyle."
Cartman,All it takes to kill a show forever is get one episode pulled.
Cartman,"If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled."
Cartman,And then people with disabilities can demand another show get pulled.
Cartman,"And so on and so on, until Family Guy is no more!"
Cartman,It's exactly what happened to Laverne & Shirley.
Kyle,Whoa whoa wait a minute!
Kyle,This isn't what I signed up for!
Kyle,I like Family Guy.
Kyle,Why do we have to get it off the air forever?
Cartman,"Because they made f-fun of Muslims, and and that's wrong."
Kyle,But that doesn't mean it has to go off the air.
Kyle,You should like that show.
Kyle,Your sense of humor is just like Family Guy.
Cartman,"Don't you EVER, EVER, compare me to Family Guy!"
Cartman,You hear me Kyle??!!
Cartman,"Compare me to Family Guy again, and so help me I will kill you where you stand!"
Kyle,You unbelievable son of a bitch.
Kyle,You never cared about the Muslim religion.
Kyle,Or the safety of people in America.
Kyle,You just want Family Guy off the air!
Cartman,Do you have any idea what it's like?!
Cartman,"Everywhere I go, ""Hey Cartman, you must like Family Guy, right?"""
Cartman,"""Hey, your sense of humor reminds me of Family Guy, Cartman."""
Cartman,I am NOTHING like Family Guy!
Cartman,"When I make jokes, they are inherent to a story!"
Cartman,"Deep, situational and emotional jokes based on what is relevant and has a POINT!"
Cartman,Not just one interchangeable joke after another!
Kyle,What are you talking about?
Cartman,YOU DON'T UNDERSTAND!
Kyle,I can't believe I let you scare me into taking your side.
Kyle,You used fear to make me stop believing in free speech.
Cartman,Well...
Cartman,I guess you won't be helping me now.
Cartman,No biggie.
Cartman,I don't NEED you to get the episode pulled!
Kyle,No!
Kyle,I am NOT letting you go to that television studio and pretend... to care about safety and sensitivity to get a show you don't like off the air!
Cartman,"Well then Kyle, I guess we- ...Oh my God, is that Tim McGraw?"
Kyle,What?
Kyle,CARTMAN!
Cartman,"Kyle, stop it!"
Cartman,Holy Crap!
Kyle,Ahhh!
Stan,"Dad, I don't wanna bury my head in the sand."
Stan,Yeah.
Stan,"Dad, this is stupid."
Kyle,No!
Kyle,AAAAH!
Kyle,AAAAH!
Cartman,Hahahaha!
Cartman,"So long, Kyle!"
Kyle,You son of a bitch!
Kyle,I won't let you win!
Kyle,You hear me?
Cartman,"Suck mah balls, Kyle!"
Cartman,This... explains everything.
Cartman,"Kyle, quit it!"
Cartman,"Stop it, Kyle!"
Cartman,I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.
Kyle,You just want Family Guy off the air...
Cartman,"Kyle, stop it!"
Cartman,"So long, Kyle!"
Kyle,You son of a bitch!
Kyle,I won't let you win!
Cartman,"Ma'am, I need to speak to the president of this network right away."
Cartman,It's regarding Family Guy.
Cartman,I demand that the Mohammad episode be pulled before it airs tonight!
Cartman,"It's incendiary, it's offensive to Muslims, and people can get hurt!"
Cartman,It's wrong!
Cartman,It's WROOONG!
Cartman,"Dude, can I go before you?"
Kyle,What the hell is going on?
Kyle,Hello?
Kyle,"Excuse me, I need to get to Los Angeles."
Kyle,Hello?
Kyle,Who?
Cartman,"So... you don't like Family Guy either, huh?"
Cartman,So what's your plan?
Cartman,You're gonna ask the president of the network nicely to take it off the air?
Cartman,"Look, kid, if you hate a TV show, all you have to do is get an episode pulled."
Cartman,Pretty soon the show is compromised and it goes off the air.
Cartman,Yes.
Cartman,So my plan is to use this whole Mohammad thing as a way to scare the network into pulling tonight's show.
Cartman,I'm going to use fear to get them to do what I want.
Cartman,"...No, it isn't like terrorism."
Cartman,It IS terrorism.
Cartman,This is manipulation at its highest lever; you should let me handle this.
Cartman,Really?
Cartman,What's the worst thing you've ever done?
Cartman,"Wow, that's pretty hardcore."
Cartman,Geez.
Cartman,"That's like this one time, when I didn't like a kid, so I ground his parents up into chili and fed it to him."
Cartman,Seeya.
Cartman,"Hello, gentlemen, ladies."
Cartman,My name is little Danny Pocket.
Cartman,And I won't take much of your time.
Cartman,Please excuse my tiny crutch; it's the only way I can get around these days.
Cartman,Ow...
Cartman,"You see, my father worked for a newspaper in my native country of Denmark."
Cartman,"His newspaper showed an image of Mohammad and, two days later, terrorists suicides bombed his building."
Cartman,I was in the lobby when it happened.
Cartman,"First one terrorist suicide bombed us and, then dozens more."
Cartman,They just kept coming.
Cartman,Suicide bombers running in the building and blowing up one after another!
Cartman,They were like Mexican jumping beans.
Cartman,"I just don't wanna see people here at your studio getting hurt, because... that would be, of course, your responsibility."
Cartman,Ow..
Cartman,I'll certainly do my best.
Cartman,Ow.
Cartman,"Yes, and then Family Guy is as good as dead."
Cartman,"I I said ""thank you."""
Cartman,Thank you for listening.
Kyle,Thanks a lot for the ride.
Kyle,I'll do everything I can.
Kyle,Excuse me.
Kyle,Do you know which way the network president's office is?
Kyle,"Look, my fat bastard friend is trying to trick the network into getting Family Guy off the air."
Kyle,"Oh thanks, dude."
Kyle,Hello?
Kyle,"This can't be right, I-  Ow!"
Cartman,"It won't take long, sir."
Cartman,Ow...
Cartman,"Yes, I'm totally excited."
Cartman,Family Guy is so funny.
Cartman,Wha?
Cartman,What are they?
Cartman,Family Guy is written by manatees?
Cartman,"Of course, it all makes sense now."
Cartman,Waitwaitaminute waitaminute.
Cartman,These... manatees demanded that Mohammad be shown?
Cartman,How?
Cartman,Manatees don't talk!
Cartman,"Oh... yes, yes."
Cartman,"Um  hello, manatees."
Cartman,"I, I think you should allow the network to pull your episode with Mohammad."
Cartman,"See, I'm the victim of a, a terrorist attack and... terrorists might come after you if you-"
Cartman,Why not?
Cartman,Son of a bitch.
Kyle,"Let me out of here, kid!"
Kyle,Why are you doing this?
Cartman,Well well well!
Kyle,Cartman!
Cartman,"Hello, Kyle."
Cartman,Looks like you've run into a little snag in your plan as well.
Kyle,You fat sun of a bitch!
Cartman,"You came so close to stopping me, didn't you, Kyle."
Cartman,There was just one thing you didn't count on: that more people besides me hate Family Guy.
Kyle,"Well, a lot of people like Family Guy too!"
Kyle,Who are you to decide it shouldn't be on the air?
Cartman,Not yet!
Cartman,But I've come up with a new plan.
Cartman,I've learned how to make the Family Guy writing staff stop working!
Cartman,"As soon as everyone goes on their lunch break, I can sneak back in."
Kyle,"Cartman, let me out of this stupid net!"
Cartman,"Good, Kyle!"
Cartman,That's good anger you're showin' there!
Cartman,See that?!
Cartman,That's emotional character development based on what's happening in the storyline!
Cartman,Not at all like Family Guy.
Cartman,"Now, if you'll excuse me, Kyle,  I've got some idea balls to remove from a manatee tank."
Kyle,WHAT?
Cartman,Sir!
Cartman,Sir!
Cartman,"If you don't my saying, I think you asked for this."
Cartman,You gave in to the manatees last week.
Cartman,Now they know all they have to do is refuse to work and they can get whatever they want.
Cartman,You spoiled them by caving in.
Cartman,Now they thnk they can walk all over you.
Cartman,"Sir, you are in charge of this network, not them."
Cartman,Maybe it's time you showed them who's in charge.
Cartman,I did it.
Cartman,I... AM...
Cartman,GOD!!
Cartman,Family Guy is going off the air!
Cartman,"No more Family Guy for me, mon frère!"
Kyle,Cartman!!
Kyle,You fucking fatass!
Cartman,How the hell did you get out?
Kyle,That kid and I had a long talk!
Kyle,I told him he was on a slippery slope to becoming a monster like you!
Cartman,"Aw, God damnit, you gave him one of your gay little speeches, didn't you?"
Kyle,You are NOT KILLING FAMILY GUY!
Cartman,"You're too late, Kyle!"
Cartman,The president of the network is pulling the episode!
Cartman,Family Guy is as good as dead!
Kyle,There's still time to tell the network president you're full of CRAP!
Cartman,I can't let you do that!
Kyle,Get out of my way or I'll kick your ass!
Cartman,"Fine, Kyle."
Cartman,I guess it was inevitable.
Cartman,Let this be our final battle.
Cartman,Ow.
Cartman,OW!
Cartman,Stop it!
Cartman,"Kyle, that's too hard!"
Cartman,Ah!
Cartman,Ugh.
Cartman,Kyle!
Cartman,Stop it!
Kyle,Ow.
Kyle,Quit it!
Cartman,Ow.
Cartman,"Quit it, Kyle!"
Cartman,Bleh.
Cartman,Kyle!
Cartman,Stop it!
Kyle,Ow.
Kyle,Quit it!
Cartman,Ow.
Cartman,"Quit it, Kyle!"
Cartman,Leh- Kyle!
Cartman,"Let go- Okay okay come on, time out."
Cartman,"Kyle, time out!"
Cartman,Time out!
Cartman,Time out.
Cartman,Time in!
Cartman,I d-ow!
Cartman,Uh.
Cartman,Ah.
Cartman,Sh-gah.
Cartman,Okay.
Cartman,Okay.
Cartman,Time out!
Cartman,Kyle t-time out!
Cartman,Time out!
Cartman,Time out!
Cartman,Time out!
Cartman,Time out!
Kyle,"No more timeouts, fatass!"
Cartman,Time out!
Cartman,Time out!
Cartman,"Time out, Kyle!"
Cartman,Ay!
Cartman,Ay!
Cartman,Kyle!
Cartman,Kyle!
Cartman,Get the... Get the- Kyle!
Cartman,"Kyle, dude, that was- that was in the balls!"
Cartman,"Dude, serious- seriously!"
Cartman,That was in the balls!
Cartman,No hitting- No hitting in the balls!
Cartman,Kyle!
Cartman,"Quit it, Kyle."
Cartman,"Give it up, Kyle!"
Cartman,Okay...
Cartman,Okay!
Cartman,Okay okay!
Cartman,You win!
Cartman,You win.
Cartman,I give up.
Cartman,Hahaha!
Cartman,I had my fingers crossed.
Kyle,"Thanks, kid."
Kyle,Sir!
Kyle,Mister television executive!
Kyle,Stop!
Kyle,Listen to me: the little boy who convinced you to pull the episode is a bastard child.
Kyle,He only wants you to pull it because he knows it will be the end of Family Guy forever!
Kyle,Pulling an episode because someone is offended starts a chain reaction.
Kyle,You'll have to pull more and more episodes until the show goes off the air completely.
Kyle,It's what happened to Laverne & Shirley.
Kyle,What manatees??!
Cartman,"Go ahead, Mr. President!"
Cartman,Continue what you were doing!
Kyle,No!
Kyle,"You have to show Mohammad, Mr. President!"
Kyle,"Sir, just think about what you're doing to free speech!"
Cartman,No!
Cartman,Think about the people who could get hurt!
Cartman,"Okay, I'll make it easy for you."
Cartman,"Pull the Mohammad episode, now!"
Kyle,Noo!
Kyle,Wait!
Kyle,You can't listen to him!
Kyle,He's a lying deceitful monster who only wants Family Guy off the air!
Kyle,You can't do what he wants just because he's the one threatening you with violence!
Cartman,"Shut up, Kyle!"
Kyle,"Yes, people can get hurt."
Kyle,That's how terrorism works.
Kyle,"But if you give into that, Doug, you're allowing terrorism to work."
Kyle,Do the right thing here.
Cartman,"Give the orders to pull the episode, Mr. President!"
Kyle,"Do the right thing, Mr. President."
Kyle,"I wish that was good enough, but if you censor out Mohammad, then soon you'll have to censor out more."
Cartman,"No gay speeches, Kyle!"
Kyle,"If you don't show Mohammad, then you've made a distinction what is okay to poke fun at, and what isn't."
Kyle,"Either it's all okay, or none of it is."
Kyle,Do the right thing.
Kyle,Show Mohammad.
Kyle,Do.
Kyle,The right.
Kyle,Thing.
Kyle,Yes!
Cartman,No!
Cartman,"No, I hate Family Guy!"
Kyle,Dick Cheney?
Stan,Who?
Kyle,ManBearPig?
Cartman,Check out this sweet move.
Cartman,"Kyle, you can't block like that."
Kyle,"Just play the game, fatass!"
Stan,"Pass it to me, Cartman?"
Cartman,Hang on.
Cartman,I'm going to do something killer.
Cartman,"God damnit, stop it, Kyle!"
Cartman,"All right, check it out."
Cartman,This is a total Kobe Bryant I'm about to do.
Kyle,"Just take a shot or pass the ball, asshole!"
Kyle,It's getting late!
Cartman,"Let's just see who gets the ball this time, Jewboy!"
Cartman,"Kyle, knock it off!"
Stan,"Cartman, stop hogging the goddamned ball!"
Kyle,We know.
Cartman,"Dude, what are you doing?"
Stan,"Oh, hey Dad."
Kyle,"Okay, Mr. Marsh."
Stan,"Aw, he's all right, Dad."
Stan,He was just trying to warn us about ManBearPig.
Kyle,He's half man and half bearpig
Cartman,"No, dude, he's half man and half bear and half pig."
Kyle,That doesn't make any sense.
Stan,"He could be half bear, half manpig."
Stan,"But I feel kind of bad for him, Dad."
Stan,I don't think he has any friends.
Stan,Hello?
Stan,Oh man... Hi Mr. Gore.
Stan,I know.
Stan,"Eh look, I'm sorry but, we're all kind of busy."
Stan,"No, no, it's not that."
